,语言能力,总量
1693,普通话国家二级乙等************语听，说，读，写良好,1
1694,具有良好的沟通能力，语已过了大学语6级.,1
1695,  表达能力强，突出重点，用中心思想来表达自己的观点及见解,1
1696,"做事有诚心, 有恒心, 有责任心;		************语说写能力佳;",1
1697,普通话，粤语流利，通过大学语四级，成绩为****．学过一学期的德语初级，了解基,1
1698,语四级  ，六级，均一次通过************计算机二级，普通话二级甲等,1
1699,通过国家语四级考试，具有较好的听说写能力；************国语标准**,1
1700,语：通过四级，六级（****）日语：初级,1
1701,？	标准普通话************？	语语听、说、读、写良好  *****,1
1702,语六级************计算机国家二级************普通话二级,1
1703,"个性开朗乐观,踏实肯干,上进心强,有团队精神.　 **************",1
1704,性格开朗乐观，善于人际交流和沟通,1
1705,会标准普通话,1
1706,****年2月至****年9月，由老师介绍到北京侨信装****公司工作，做绘图,1
1707,"  大学语四级成绩优秀,普通话标准,具有良好的写作以及朗诵能力.并在校园以及",1
1708,对模具制造有着较深的认识，能解决模具在生产过程中所发生的问题，对小家电，汽车配件,1
1709,语：一般************粤语:良好************普通话：标准,1
1710,具有较强的沟通、协调能力；有良好的职业道德及语言表达能力和文字组织能力；,1
1711,    本人有良好的个人修养、细心、稳重、诚实、对工作具有高度的使命感与责任感，,1
1712,    PTES-3,1
1713,通过语专业四级，语听说读写译能力强。************语言表达能力强，,1
1714,擅长人际沟通,1
1715,熟悉办公室软件操作软件，EXCEL和WORD文档处理，打字熟练。,1
1716,外语类型：语************国语水平：二级乙等,1
1717,普通话   熟练************,1
1718,沟通能力优秀，有一定的管理和组织协调能力．,1
1719,精通白话，普通话熟练，有一定的外语水平及文字功底。能看懂常用的文单词或文章，对,1
1720,普通话标准 语四级水平 有良好的听、说、读、写的能力！,1
1721,    ************************   本人在富士康工作,1
1722,通过了全国语三级考试，并且具备较好的听、读、说、写能力。普通话标准。,1
1723,精通汉语，普通话标准流利，善于交流！语略懂一二，最基本的口语OK。,1
1724,普通话水平:良好************语水平  :一般,1
1725,"           熟悉国际贸易流程,语通过cet4，具有很强的语听、说",1
1726,"语一般,普通话表达能力强",1
1727,懂普通话、潮汕话、客家话，粤语、语一般,1
1728," 个性乐观，待人热情,积极主动",1
1729,   本人会说流利的普通话，语口语表达能力较强，会简单的日语，相信自己能够胜任,1
1730,普通话：优秀,1
1731,普通话良好************      语会一般交流,1
1732,语	有较强的听、说、读、写能力。************日语	能够进行简单的日,1
1733,语过应用能力B级，普通话良好，粤语流利。,1
1734,"语二级,粤语流利,普通话二乙",1
1735,大学语四级.************ 熟练普通话广东话,1
1736,1.****年通过ＣＥＴ－6。有较强的口语表达与交流能力，具备良好的文听说读写,1
1737,   熟悉国语，语，粤语。,1
1738,获得语能力B级证书。具有一定的语听，说，读，写，译的能力。,1
1739,普通话      精通************  语      一般,1
1740,  普通话、广东话,1
1741,普通话，文。,1
1742,"普遍话流利,粤语流利,语一般",1
1743,汉语 标准************粤语 懂听************语 一般,1
1744,国语流利会白话,1
1745,语 	熟练 ************汉语 	熟练 ************,1
1746,普通话、粤语************语************,1
1747,有很好的语口语表达能力；能阅读一般水平的语文章；有一定的语写作能力。一年的,1
1748,获得国家语言文学工作委员会颁发普通话资格证；二级乙等,1
1749,能胜任一般职业的要求，毕竟不是专业的吗，但我觉得做事做比说更重要,1
1750,普通话良好，语A级,1
1751,本人的第二语言是语，在那方面具有良好的听说读能力，能以此语言进行沟通交流。,1
1752,语四级 口语熟练,1
1753,语言表达能力强 思维敏捷！,1
1754,"语一般,日语初级学习中",1
1755,"  由于自己是一名理科类的高中毕业生,对于语言的表达能力也有相对的欠缺的能力,",1
1756,语听说写水平一般************普通话良好,1
1757,普通话标准************精通粤语************语熟练,1
1758,普通话流利\粤语流利\语一般,1
1759,"CET-4,语听说读写能力良好,能够进行简单的语交流,能看懂文技术资料.",1
1760,本人性格正直，热爱团体，较强接收新鲜事物能力；能够严于律己、对人和事能公平、公正,1
1761,语良好************国语粤语标准************,1
1762,"外语四级,普通话：精通  广东话：一般************语：听：良好，",1
1763,CET-4************具备读写能力、一般性交流能力,1
1764,曾与外国工程师组装机器一年，可以应付日常交流,1
1765,普 通 话：标准流利，善于与人交流沟通；************    语：具,1
1766,国语  熟练******粤语  能全部听懂******语  一般******,1
1767,1、国家计算机二级c语言************2、利用matlab独立编程，实,1
1768,语4级 标准普通话 粤语一般,1
1769,"普通话流利,语口语水平一般,对计算机专业语熟悉,书面语沟通无问题",1
1770,能用普通话流利的与客户进行交谈。************外语熟练。,1
1771,语言表达能力强，能说一口流利的国语和粤语,1
1772,商务语 ************************　 *********,1
1773,本人稳重、有活力，待人热情、真诚。,1
1774,普通话流利，能基本听懂白话，能用简单的语打招呼,1
1775,"大学语CET-4,Matlab 6.0.Protel ****,CAD",1
1776,通过国家语四级考试，具有良好的听、说、读、写能力，能够翻译财经及相关方面的文,1
1777,普通话流利;语言表达能力强.************************,1
1778,普通话流利、粤语差,1
1779,普通话流利，粤语流利，语一般。,1
1780,普通话、广东话、客家话良好。,1
1781,"对中文的读写能力具有良好的功底,对文的读写一般",1
1782,国语二乙、流利广东话、语一般,1
1783,我自己认为在跟对方交流时主要注意的说话节奏，吐字要清晰！************,1
1784,  普通话、文,1
1785,"能说标准的普通话,母语粤语，听懂和能说客家话，语3级",1
1786,大学四年，本人学习能力很强，善于交际和组织，成绩一直名列专业前茅，曾获得学院一等,1
1787,语听写读能力达到四级！,1
1788,精通C语言软件编程序写软件。************,1
1789,语：一般       普通话：良好     粤语：精通,1
1790,语言表达能力强，声音富有感染力。,1
1791,普通话标准、语口语流利,1
1792,获得语4级证书，具有良好的语听说读写能力，能读懂芯片的文资料datashe,1
1793,"热爱销售,广交朋友.",1
1794,普通话、粤语		,1
1795,"国语流利,能听说广东话.",1
1796,<1>  语：A级         <2>普通话：标准           <,1
1797,语：具有一定的听、说、读、写能力。************计算机水平：熟悉计算,1
1798,语运用能力A级  国家计算机二级  国语标准,1
1799,本人参加工作已有6年，性格开朗、积极向上，具有良好的心理素质、职业操守、个人修,1
1800,普通话表达流利，有扎实的写作功底。,1
1801,国语水平：良好************语：    一般,1
1802,开朗，有一定的沟通能力，相信自己一定可以。,1
1803,职业：************视觉设计师，UI设计师 界面皮肤设计师******,1
1804,只懂中文呢！惭愧。,1
1805,国语:良好************语:一般,1
1806,   语口语较流利，可一般的商务交流；普通话标准。,1
1807,擅长语言口头表达能力，对客服行业有着浓厚的兴趣。,1
1808,通过全国大学语四六级考试，并获得四六级证书************普通话二甲。,1
1809,大学语4级************普通话，客家话，粤语流利,1
1810,"善于广东话,客家话以及对语有浓厚的兴趣.",1
1811,普通话，潮语,1
1812,普通话水平：取得普通话二级乙等水平考试证书************语水平：通过,1
1813,************中级家用电子产品维修工、****************,1
1814,（1）通过国家语四级考试，语的听说阅读能力较好************（2）,1
1815,普通话较标准，语一般,1
1816,语国家四级************普通话标准************,1
1817,****．9获得《(高*试》（B级）************语,1
1818,普通话标准************语简单对话,1
1819,语四级   ****分.,1
1820,汉语 标准************粤语 一般************语 一般*,1
1821,本人对语一般普通话良好。,1
1822,我个人的沟通能力很好。语言能力也很好。普通话很标准，通过普通话二级甲等。我相信一,1
1823,国语流利、熟练,1
1824,能很好的于同学同事沟通，为人和善，喜欢于人交流。具有比较强的专业理论知识，很好,1
1825,    在课余时间，充分把握好自己，在书法方面有一定的功底，同时涉猎摄影及写作。,1
1826,全国语水平B级******国语、粤语标准,1
1827,标准的普通话、白话、客家话,1
1828,语能力：  通过CET-4（****）*********************,1
1829,懂白话，语一般,1
1830,普通话流利，亲和力好，沟通接受能力强,1
1831,普通话标准，计算机良好。,1
1832,普通话标准************语口语对话************粤语可听少,1
1833,１．能熟练运用常用办公自动化软件如：ＥＸＣＥＬ，ＷＯＲＤ，ＥＭＡＩＬ收发等***,1
1834,语三级A、B************,1
1835,普通话二级甲等。语四级。,1
1836,精通国语、粤语。************语一般。,1
1837,"普通话标准,语水平一般,能听懂粤语",1
1838,通过国家语四级，平时注重听、说、读、写训练，具有一定的口语水平，掌握相当数量的,1
1839,"普通话一级乙等证书,语六级证书.************语交流能力尚可.",1
1840,项目经验************项目时间：****年7月 — ****年9月 ,1
1841,语:一般 ,1
1842,普通话精通，粤语良好。,1
1843,语言语种：语  掌握程度：熟练  级别：四级,1
1844,语************大学语四级************大学语六级**,1
1845,   普通话流利，粤语流利，  沟通能力，表达能力良好。,1
1846,熟练粤语.,1
1847,"对工作细心,有责任心积极勤恳，能够管理。",1
1848,"精通JAVA，熟练.NET, C++, VB语言",1
1849," 语通过CET-6,普通话清晰",1
1850,"熟练的普通话;语水平一般.************在当今社会,我没有高学历的",1
1851,普通话：一级乙等************  语：大学四级***********,1
1852,语能力能满足日常需要，会粤语,1
1853,通过了国家语四级考试,1
1854,熟悉国语，粤语。,1
1855,良好的沟通能力，在工作期间担任过团队领导。在工作过程中能解决消费者的要求，善于面,1
1856,上大学时语还没有开始考级;参加工程师职称语考试成绩合格。**********,1
1857,通过了CET-4，BET-1；语口语流利，对与老外面对面交流，读，写方面也比较,1
1858,能解决日常生活中遇到的常见故障的处理。,1
1859,*良好的语言表达能力及写作能力；*************获得国家语等级考试四,1
1860,沟通能力较好，具有良的好表达能力和说服能力。,1
1861,普通话流利，熟练的听说读写能力。,1
1862,普通话************白话,1
1863,汉语熟练************语初级,1
1864,善于沟通，有亲和力,1
1865,    良好的语言沟通能力，能流利的进行语交流,1
1866,熟悉广东话和普通话，客家话！,1
1867,大学语四级、普通话二级乙等。,1
1868,"html,asp，access",1
1869,"语一般,工作中所接触到的一般函件(如B/L,S/O,P/L,INVOICE等",1
1870,普通话：熟练************语：CET 4 TAFE III语等级考,1
1871,普通话流利。 语专业四级，大学语四级， 熟练掌握日常交际用语。,1
1872,  精通粤语，普通话熟练，文一般,1
1873,1 普通话流利************,1
1874,全国语专业八级和四级证书************全国计算机等级考试一级证书*,1
1875,      从事过一段时间的房地产文案写作工作，有一定的文字编辑能力，同时从事过,1
1876,本人性格开朗且成熟稳重。勤奋好学，吃苦耐劳，有很好的语言表达能力、沟通协调能力,1
1877,语一般 ，普通话标准,1
1878,"  普通话标准,交际能力强.",1
1879,能熟练。准确的表达意思,1
1880,语水平较好************普通话良好,1
1881,1、普通话标准、流利，口齿清晰； ************2、较强的口语表达能力,1
1882,尊敬的领导:************    你好!************  ,1
1883,1.普通话标准，沟通及表达能力强，语熟练。,1
1884,能熟练的运用语与外国人交谈，普通话标准，对许多方面的知识都有些许了解，如：历史,1
1885,文熟练 韩文一般,1
1886,普通话二级甲等 大学语四级************,1
1887,通过专业语八级，大学语六级，语专业四级以及外贸业务员证书,1
1888,   语具备基本听说读写能力,1
1889,语八级证书；三年日语学习经历，参加过日语二级能力考试。在外贸岗位上，认真学习过,1
1890,我的语言表达能力较好。兴趣是关键，只要留心观察，善于表达，日积月累定能成为语言能,1
1891,普通话（优秀）；粤语（一般）；语（优秀）,1
1892,"语:听,说,读,写,译优************普通话:母语********",1
1893,语还可以，过了大学毕业的要求，计算机过了一级，CAD拿到了中级证，车工拿到了中,1
1894,语言表达能力强 普通话标准  在校经常做主持人  并参加演讲比赛,1
1895,    语水平一般；粤语能听懂,1
1896,  能熟练操作电脑，例如：制表、绘图和电脑的基本维修等、、、,1
1897,CET-６,1
1898,語 四級 /普通話流利,1
1899,识听广东话.客家话,1
1900,获得全国普通话二级甲等证书。************通过了全国大学语4级，6级,1
1901,大学语A级,1
1902,普通话熟练，善于沟通,1
1903,通过CET-4，具有较好的语听、说、读、写能力，具备一定的专业语水平,1
1904,国语、普通话（较强的语言组织表达能力与人交谈沟通）/语（四级）听、写、读、说、,1
1905,在大学期间完成了大学语四级，普通话、客家话，粤语语言能力良好,1
1906,您好!很荣幸也很期待能有机会融进这个团队里，我是怀着新的希望和满腔热忱而来。凭着,1
1907,语口语良好，阅读能力强，翻译能力较好,1
1908,语言：中文熟练，粤语熟练，语口语良好,1
1909,能熟练地用语与外国友人进行有效地沟通,1
1910,流利的普通话，基本的语、粤语对话，客家话。,1
1911,标准的普通话************流利的粤语************语：通过,1
1912,语一般，国语流利，,1
1913,普通话是肯定过关的，语不怎么好。,1
1914,        我会以自己的行动来证明，你的选择是对的！,1
1915,语水平：四级。商务听、说、读、写均可************普通话流利，沟通能,1
1916,普通话标准    ,1
1917,本人语言能力良好.,1
1918,"普通话,粤语，文口语．",1
1919,语四级，读写熟练，能进行简单的语对话。,1
1920,普通话 2级乙等************语   3级************对,1
1921,语6级、BEC2、日语2级,1
1922,"好,善于交流",1
1923,会四种语言:1 语 2  潮汕话   3  白话   4 国语,1
1924,日语、粤语、普通话,1
1925,语，能够较熟练的听说读写；************普通话，标准流利；*****,1
1926,语言能力：普通话流利，粤语一般    语：一般       ********,1
1927,普通话、粤语标准；口齿清晰，有较强的语言表达能力，思维敏捷。,1
1928,普通话`粤语`流利，母语是客家话,1
1929,普通话：精通  广东话：良好******语：听：一般，说：不会，读：不会，写：,1
1930,CET-4级。具备较强的文阅读能力、听力、口头表达能力和笔译能力,1
1931,中文发音标准，吐词清晰。语通过四级，具备一定的听、说、读、写能力。,1
1932,独立完成文案写作，工作能力强，工作经验丰富。,1
1933,语水平良好(达到四级水平）************计算机已过国家C语言二级,1
1934, 良好                ,1
1935, 语：具备良好的听说读写能力，并获国家语四级证书,1
1936,语听、说、读、写均具备的一定能力。************,1
1937,语水平良好，能阅读业务范围内常用术语；普通话水平良好。************,1
1938,普通话：良好  广东话：一般************语，等级：四级,1
1939, 普通话与白话流利，语一般,1
1940,语言组织能力强，能说会道。,1
1941,普通话水平良好，语水平一般,1
1942,"主要是普通话 和语 ,普通考过二级已等.",1
1943,会比较简单的语。,1
1944,   通过湖北省专业语,1
1945,会国语，粤语，基础语,1
1946,粤语(熟练 ) 普通话(熟练）,1
1947,普通话：标准；粤语：标准；语：良好。************,1
1948,普通话标准，流利。能用熟练广东话交流。,1
1949,语  言  能  力：   ************语水平：  CET-4 *,1
1950,良好的语读写能力，语口语熟练。,1
1951,善于沟通，能够与可户建立良好的客情关系。,1
1952,普通话及粤语良好,1
1953,语一般 粤语熟练,1
1954,语水平一般，具备一般的听、说、读、写能力************,1
1955,精通日常语,1
1956,本人接受正规的专业教育，具有良好的日语视、听、说、写能力，专业基础扎实，获取日本,1
1957,国语、粤语熟练，文一般,1
1958,    本人善于沟通谈判，适应能力强，工作认真负责！,1
1959,  语水平：三级      语言能力：普通话  标准  ,1
1960,"大学语六级,口语良好,能用语与人交谈。************曾两次获学院",1
1961,"语熟练,日文一般,听得懂白话,",1
1962,上海话　　熟练************普通话　　标准************ ,1
1963,普通话：二级乙等************广东话：一般************语,1
1964,语能力: 良好,1
1965,普通话标准，书面语言运用能力强；白话能听不会说。,1
1966,语言表达能力良好，口齿清楚，反应灵敏,1
1967,"文一般,懂白话.",1
1968,普通话流利************大学语语四级,1
1969,普通话国家二级乙等（****.2分），能非常好的与人沟通，交流、**********,1
1970,日语，一般************语，一般,1
1971,    具有积极的上进心和强烈的求习心态，能吃苦耐劳；责任感强，对工作充满热诚，,1
1972,奥语一般************语一般************普通话精通。,1
1973,****/8--****/7 graduated from the Yunna,1
1974,语过了国家四级，计算机过了国家二级、普通话流利。,1
1975,精通普通话， 能听懂广东话并会简单对话。************语：听说读写良,1
1976,  语四级 ************  普通话标准,1
1977,通过国家大学语四六级考试。具有较强的阅读能力。,1
1978,"国语精通,粤语熟练,语优良.",1
1979,CET—4，普通话优秀,1
1980,语方面听说读写一般般，普通话还算标准！,1
1981,"语具有熟练的读写技能和基本口语能力,在****年六月通过大学语四级考试",1
1982,语水平：良好************能比较好熟练听、说、读，已取得语证书。,1
1983,粤语流利.,1
1984,有较强的语方表达能力及有较强的文字功底，能够承受一定的工作压力，对生活和工作富,1
1985,语水平：CET-6，具备良好的语读写听说能力,1
1986,文基础知识扎实，可以熟练阅读文文献资料,1
1987,语大学六级。************普通话二级乙等。************,1
1988,  1.对待工作有较强的积极性，能吃苦耐劳。************  2.有很,1
1989,1、普通话熟练。************2、粤语一般。************3,1
1990,普通话标准，语水平三级，经过两年****公司的锻炼，现在可以与国外客户进行邮,1
1991,普通话标准。语/粤语一般,1
1992,能讲流利的普通话，惠州话，粤语，客家话，语水平良好具沟通能力,1
1993,中文良好.,1
1994,通过国家语四级考试   能进行日常交流及阅读相关文文章,1
1995,普通话标准************方言：粤语良好，***************,1
1996,程度良好，能进行日常听、说及一般写、译处理，已通过CET-4,1
1997,普通话、语、粤语,1
1998,普通话：熟练     广东话：一般      语：一般,1
1999,语言沟通能力好，善交际,1
2000,全国语四级，六级:良好的听，说，读，写能力。************全国计算机,1
2001,普通话流利\语会话无障碍,1
2002,语口语流利，翻译水平较高。通过CET-6级。,1
2003,"   普通话标准,熟悉粤语.语良好。",1
2004,不论自己处于什么样的环境，都需要有一颗强烈的责任心，走好脚下的路，才能让自己走的,1
2005,思维灵活，表达清晰。。。。,1
2006,普通话：精通  广东话：精通************日语：听：一般，说：不会，读,1
2007,拥有良好的文字功底和语言表达能力；通过大学语四级考试，具有一定的听、说、读、写,1
2008,CET-6（****分），平时常常下载bbc新闻听。,1
2009,汉语熟练************,1
2010,        本人喜欢交朋友，善于于人沟通。,1
2011,普通话:流利  ************广东话:会听,1
2012,全国语统考中级合格证，具有一定的听、说、读、写能力,1
2013,中文还行，语能力一般。,1
2014,  通过国家语四级考试，具有很强的语听、说、读、写以及翻译能力；******,1
2015,  语三级，普通话二级乙等。************  有较强的沟通能力。,1
2016,"曾做过办公室文员,熟练常用的办公软件.************曾做过电话营销，",1
2017,大学期间顺利获得大学语六级证书，语专业四级证，以及BEC国际剑桥商务语中级,1
2018,表达能力还可以！语一般！,1
2019,通过大学语考试四级考试，口语流利！,1
2020,普通话，广东话表达清楚，善于沟通,1
2021,学习的外语语种是语，语能力是一般水平。大部分文文档能看懂大意！,1
2022,具备较好的语听、说、读、写的能力,1
2023,"国语水平良好,普通话熟练,语水平一般.                   ",1
2024,熟悉普通话、粤语、客家话；************熟悉语，通过大学语四级。*,1
2025,善于沟通，有较强的表达能力！,1
2026,语六级、听读写良好。******,1
2027,      普通话清晰，语具有一定的听说读写能力。,1
2028,普通话标准************能独立处理国外客人的邮件与交流；*******,1
2029,语应用能力好，感觉自己学的还不够好，会努力学习的,1
2030,语四级************懂一点日语和德语,1
2031,通过国家语四级，具有较强的阅读能力。,1
2032,"语,通过TEM-4,CET-6",1
2033,能很好的把信息传达给客户达到共识，沟通良好！,1
2034,普通话精通，对粤语听力良好，略懂讲一些，熟悉语的日常用语，擅于与人沟通，并乐于,1
2035, 语 水 平：CET 4  具有一定的听、说、读、写的能力,1
2036,精通普通话、粤语；掌握语,1
2037,语:四级;************粤语:良好;************普通话:,1
2038,语国家六级，语口语流利,1
2039,沟通能力强，能粤语和简单的韩语,1
2040,"熟练操作各办公软件（office），并略懂部份绘图软件（photoshop,c",1
2041,"   表达能力良好,懂得社交礼仪.",1
2042,普通话熟练、语一般。,1
2043,具有一定的语阅读和写作能力，能进行简单的语言交流,1
2044,     具备基础语能力，普通话流利，粤语流利。性格开朗.有良好的表达能力.能,1
2045,"通过语六级,听，说，读，写较好,曾获江西语优秀奖。************",1
2046,　　语通过Ｂ级，对语的听说读写有较好的水平．熟练于外贸行业的语,1
2047,普通话流利，语口语较好，且书写大方。,1
2048,会流利的粤语、普通话标准,1
2049,语：一般************粤语：流利************普通话：流利,1
2050,   语良好，日语初级,1
2051,全球语，外星语，月亮语************************     ,1
2052,语熟练，广东话熟练,1
2053,通过语六级，听说读写能力出色,1
2054,  语言能力还可以,1
2055,普通话标准流利，能听懂粤语。语水平一般,1
2056,通过全国语A级考试.,1
2057,语基础良好，懂粤语,1
2058,CET4，普通话熟练,1
2059,语： 六级，优秀的听说读写能力 ，语作为工作语言，熟练编写商务邮件，可以熟练,1
2060,"普通话一般,语四级****.但已通过学位语,对计算机专业中涉及的语有较的理",1
2061,      具备良好的语言组织能力以及撰写能力。,1
2062,语四级，有良好的语听、读、写、说能力，能熟练进行日常口语对话。,1
2063,吐词清楚，表达明朗,1
2064,普通话标准，语言表达能力强，能很好的和周围的人沟通,1
2065,大学语六级（CTT-6)************,1
2066,国语，语四级,1
2067,"语:熟练,CET6 普通话:精通,二级乙等 粤语:熟练",1
2068,"会普通话,广东话,湖南话,语良好,",1
2069,****/****： CEAC网络应用工程师 ************证书说明： C,1
2070,　本人活泼开朗，自信是我的支柱，好胜是我的动力，自学是我的强身之本，吃苦耐劳是我,1
2071,1.通过CET-4和PETS-4考试。************2.普通话标准**,1
2072,普通话及粤语流利，语良好。,1
2073,"语水平：************通过国家语四级考试,有一定的听、说、读、写",1
2074,本人善于与人沟通，有着较强的语言组织能力及丰富的语言表达能力。,1
2075,通过了语专业四级和国家六级考试，能用语流利地与外商进行网上邮件洽谈和面对面的,1
2076,有很好的沟通能力。语通过了四级。,1
2077,会讲闽南话＼熟练文＼普通话准确流利.,1
2078,语邮件交流和简单口语还行。,1
2079,通过语6级，具有很强的语实战能力，能熟练阅读文资料，可以用语进行日常交流,1
2080,普通话超标准。语一般。,1
2081,有较好的沟通交流能力,1
2082,一般，善于与人交流沟通。,1
2083,普通话：良好，语：良好,1
2084,"国语很好,粤语及语一般.",1
2085,****年4月  获得”全国大学生语等级考试CET4”证书；*********,1
2086,普通话流利。************大学语四级，能进行语阅读和简单的口语沟通,1
2087,语：CET-4************普通话标准,1
2088,普通话：良好  ************广东话：良好************语,1
2089,普通话标准，语言能力良好，能很快的和同事交流在一起,1
2090,本人在大学三年里，一直担任班长一职，在这短时间里，把班级带进了一个团结又和谐的环,1
2091,语：国家语六级,1
2092,普通话：熟练******粤语：能全部听懂，运用一般,1
2093,语三级A************普通话标准,1
2094,日语：读写能力一般 | 听说能力一般************语：读写能力良好 ,1
2095, 去年在线自学了一年的语，词汇量充足，可以大概听懂语新闻，可以和外国人做基本,1
2096,外语语种： 语  掌握程度： 熟练    ************听说能力： ,1
2097,普通话获得国家二乙证书,1
2098,国语    粤语,1
2099,粤语、国语、方言。,1
2100,"语,日语,汉语",1
2101,"    普通话熟练,语水平一般",1
2102,通过CET-4（****），学过C 和C++语言编程，通过国家计算机三级网络（C语,1
2103,"标准普通话,桂柳话,壮语,语一般",1
2104,普通话流利，语熟练，日语一般************1、熟练 Windows ,1
2105,"语CET-4,能读写************普通话流利***********",1
2106,中文文字功底较扎实，曾获学院写作比赛三等奖，书法比较三等奖。**********,1
2107,普通话标准流利************具备良好的语听、说、读、写能力*****,1
2108,普通话流利，文一般。,1
2109,语水平一般，不曾考级，在业余时间里学过日语，有所了解，熟练粤语,1
2110,粤语:流利************国语：流利************语：一般,1
2111,"1.有较强的文阅读能力及简单的写作能力,可以进行简单语对话********",1
2112,可以熟练运用粤语，国语进行交流。,1
2113,   擅长与人沟通！语CET-2 国语，粤语均通晓,1
2114,"语通过了大学四级考试,能读懂较专业的文资料和用语交流;普通话通过了国家二",1
2115,  本人语言表达能力还算不错，喜欢和人交流知识和生活，普通话标准，语能还可以，,1
2116,与人交流沟通能力较强，普通话较好，语四级。,1
2117,能够用语进行基本交流！普通话流利！,1
2118,中文普通话：熟练 / 粤语：熟练 / 语：一般,1
2119,  语言表达能力强，语良好。,1
2120,"  *语言能力：  普通话熟练, 文口语交流流利，粤语略通",1
2121,普通话流利，有良好的语言表达能力；************语一般；,1
2122,"CET-4,普通话-一般.",1
2123,说的话人家能听懂,1
2124,善于与人沟通，本人性格开朗，积极向上，工作充满激情,1
2125,读写能力一般 | 听说能力一般,1
2126,语六级，笔译熟练，口语良好,1
2127,普通话标准************语具有良好的听、说、写的能力。,1
2128,语CET6-****分,1
2129,语水平：语水平：读、写：熟练；听：良好。说：一般；全国语等级考试笔试三级。,1
2130,思维敏捷、口才佳，性格开朗、活泼，说话幽默、风趣。,1
2131,本人已通过江苏省语应用能力等级考试即语三级,1
2132,普通语标准.************************日语能够进行简单的交,1
2133,"普通话\客家话,略懂粤语!",1
2134,普通话标准，表达流利。,1
2135,普通话熟练；******语良好。,1
2136,全国大学语CET-4 ****分语全国语三级资格证书,1
2137,善于与别人交流！普通话熟悉！为人处世和谐！,1
2138,熟练掌握多种电脑办公软件，能够高效率地完成工作。,1
2139, 普通话三级甲等     语 大学语四级,1
2140,本人善于交际，具备良好的语言表达能力及组织能力，有一定的文字工底,1
2141,做为一个管理者，管理跟领导有不同的定义，能做好沟通工作，做个好领导，才是管理上策,1
2142,普通语,1
2143,"    具有良好的沟通能力、演讲能力,辩论能力和陈述能力,大学曾担任语言与口才",1
2144,粤、国、客家（种种流利）,1
2145,普通话流利，有良好的语读说写能力。,1
2146,普通话流利，语能听一点。,1
2147,深圳市电工操作证，等级证；文言组织能力一般,1
2148,"通过CET4，良好中文表达,阅读及书信，文档撰写能力，粤语良好。",1
2149,普通话获二乙,1
2150,沟通能力较强，语言表达也较强。,1
2151,喜交际，沟通能力好。,1
2152,语：四级************粤语：一般****************年,1
2153,专业知识证书:************************      低压操,1
2154,语六级以上，听说读写熟练；普通话二级甲等；法语一般，日语一般,1
2155,语：国家四级,1
2156,1）大学语四级(CET-4) ；具备较强语听、说、读、写能力，有较好的语阅,1
2157,  语言表达能力强，在大学期间曾是大学生学生会外联部部长。曾多次为学生找暑期工或,1
2158,Good oral & written English.,1
2159,语专业四级，听说读写熟练,1
2160,外　　语：	语　一般	国语水平：	熟练************粤语水平：	精通,1
2161,语水平良好，已通过大学语四级,1
2162,"普通话流利,粤语能听懂,语良好 .************",1
2163,1.语六级证书。******2.粤语精通。******3.普通话标准。,1
2164,"在校学习计算机语言VB并参加了全国计算机语言等级考试考试,以优秀的成绩取得证书",1
2165,普通话精通************************语一般,1
2166,   ffhfhfhfhfhr,1
2167,语通过国家四级考试，阅读和翻译能力较强。************计算机通过C语,1
2168,国家语四级证书（CET-4）************能够熟练的查找阅读文专业,1
2169,普通话流利，能够用语日常交流。不懂白话。,1
2170,外语语种为语，熟悉程度良好,1
2171,国家语四级；普通话标准。,1
2172,本人熟练windos、AUTOCAD及office等办公软件。******一个热,1
2173,"除了可熟练地运用国语和粤语交流,还擅长于潮汕的家乡语言,对于比较弱的语项目,",1
2174,熟练广东话、普通话、客家话，语略懂,1
2175,   普通话获得二乙证书************   语获得3级证书*****,1
2176,本人品德兼优、性格开朗、热爱生活，有较强的实践能力和组织能力.珍惜每次锻炼的机,1
2177,语水平一般，有良好的交际能力．,1
2178,语/广东话/国语,1
2179,外语语种： 语  掌握程度： 熟练  口语能力： 良好  考级:CET-4级 ,1
2180,精通语，以通过专业八级；************日语一般，三级水平。,1
2181,普通话应该说还是标准的，语的话就只能算是一般啦。,1
2182,语 一般 ，普通话、白话标准流畅，语言表达能力强。有一定的写作基础。,1
2183, 通过CET-4，具有一定的语听说读写能力,1
2184,普通话标准，语四级、语的读写说能力较好。,1
2185,普通话二级甲等，大学语六级,1
2186,语四级。听、说、写比较熟练！,1
2187,普通话一般、粤语一点、语一点,1
2188,普通话-四年在天津上大学，普通话流利************广东话-母语，流利*,1
2189,普通话一般，************,1
2190,具有较高水准的语听、说、读、写、译能力，************轻松通过国家大,1
2191,  普通话标准，熟练。************  语通过了大学语六级，读写能,1
2192,语水平：一般************普通话：一般,1
2193,普通话、粤语良好、语一般,1
2194,交际能力强，普通话流利！,1
2195,"   语言表达能力强,善于与人沟通.",1
2196,五年的军旅生涯锤炼了个人严谨的工作作风、坚强的意志与毅力，从事防损工作以来，本,1
2197,大学语CET：4级 ****分         具有较好的语言交流和阅读能力**,1
2198,"通过国家语等级考试CET-6,有一定听、说、读、写能力。",1
2199,******语言能力正常；************全国语考试四级，****分通过,1
2200,普通话标准，熟練。************语一般。,1
2201,能讲流利的粤语和国语，,1
2202,能熟练听说普通话，广东话。,1
